Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,040976,2005,88.5,27.5,10.0,38.0,44.9,103.9,null,18.0,null,125.5,113.0,null,null
IDCJAC0001,040976,2006,139.5,98.9,90.9,45.0,7.8,40.4,30.1,47.2,73.6,34.5,66.3,66.0,740.2
IDCJAC0001,040976,2007,74.7,82.6,22.7,6.6,34.3,117.2,1.4,110.3,46.7,67.1,74.1,115.7,753.4
IDCJAC0001,040976,2008,222.6,166.5,38.3,14.0,53.3,156.3,87.9,5.3,69.5,89.4,367.1,76.9,1347.1
IDCJAC0001,040976,2009,73.2,139.2,51.8,213.4,375.9,108.7,3.0,6.9,23.5,61.7,54.5,210.6,1322.4
IDCJAC0001,040976,2010,null,288.5,188.7,44.6,55.1,7.2,30.6,111.7,76.2,251.0,42.4,419.6,null
IDCJAC0001,040976,2011,383.8,205.8,151.6,97.4,74.9,8.8,13.2,85.2,22.5,115.4,15.5,151.7,1325.8
IDCJAC0001,040976,2012,412.4,134.6,123.8,140.6,35.6,124.4,56.9,0.3,5.3,19.8,178.8,62.4,1294.9
IDCJAC0001,040976,2013,475.9,260.8,null,109.4,61.4,71.3,null,4.8,23.4,32.6,131.4,39.6,null
IDCJAC0001,040976,2014,164.2,36.0,204.6,22.6,23.4,20.5,17.8,110.0,21.8,5.6,101.2,124.9,852.6
IDCJAC0001,040976,2015,304.1,271.3,137.0,150.4,225.8,31.2,11.9,29.2,83.6,62.2,89.4,57.6,1453.7
IDCJAC0001,040976,2016,103.1,90.2,134.1,11.2,24.1,398.3,27.0,30.4,62.6,29.0,43.7,133.4,1087.1
IDCJAC0001,040976,2017,178.8,30.2,491.4,9.4,40.4,80.1,36.8,7.8,4.5,180.4,153.6,157.8,1371.2
IDCJAC0001,040976,2018,40.2,308.7,162.9,27.4,null,null,null,null,null,null,null,null,null
